	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCIO	DATA_APROVACIO	NOMS_ANTERIORS	DISTRICTES
10	1003	C	Carrer d'Abella	Abella	Poble del municipi de Vilallonga de Ter (Ripollès).	29/05/1945	Núm. 40	NOU BARRIS (08)
11	1105	C	Carrer de Manuel Ballbé	Manuel Ballbé	Manuel Ballbé i Prunés (Barcelona, 1920 - 1961) Advocat i jurista. Catedràtic de dret administratiu de les universitats de Múrcia (1945) i de Saragossa (1953). Catedràtic de dret administratiu i ciències econòmiques de la Universitat de Barcelona. Estigué vinculat a moltes institucions de Catalunya i a la Fundació March.	26/03/1982	Advocat Ballbé, 12/06/1980; Abogado Ballbé, 08/05/1962	LES CORTS (04)
12	1309	C	Carrer de les Acàcies	Acàcies	"L'arbre. Poc després d'obrir-se el carrer, a principi de segle XX, s'hi van plantar acàcies. La gent en va començar a dir ""el carrer de les acàcies"", nom que es féu oficial."	 (Abans de 1927)	Acacias	SANT ANDREU (09)
13	1400	Pl	Plaça de l'Acadèmia	Pl Acadèmia	Per l'Acadèmia de Matemàtiques destinada especialment a la formació d'enginyers militars, sancionada el 1739. Era instal·lada a l'edifici de la porteria de l'antic convent de Sant Agustí, que fou enderrocat gairebé totalment entre 1714 i 1718 per formar els glacis de la Ciutadella.			CIUTAT VELLA (01)
14	1502	C	Carrer de la Sèquia	Sèquia	Perquè hi discorre el tram de sèquia Comtal que conduïa a les basses de Sant Pere, primer cabal d'aigua que es portà del Besòs a la ciutat abans de l'època comtal.	 (Abans de 1865)	Acéquia	CIUTAT VELLA (01)
15	1604	C	Carrer de la Sèquia Comtal	Sèquia Comtal	Segueix parcialment l'antic traçat de la sèquia Comtal que conduïa les aigües de Montcada a Barcelona, començades a utilitzar en el segle XI.	 (Abans de 1900)	Acequia Condal; Acequia	NOU BARRIS (08) SANT ANDREU (09) SANT MARTÍ (10)
16	1706	C	Carrer de la Sèquia Madriguera	Sèquia Madriguera	Per la sèquia que passava per aquell indret.	 (Abans de 1900)	Acequia Madriguera	SANT ANDREU (09)
17	1808	C	Carrer de l'Acer	Acer	La mescla de ferro i d'una petita quantitat de carboni. La Comissió d'Urbanisme de Barcelona aprovà el Pla parcial del sector Gran Via Sud, fonamentalment amb sòl d'ús industrial. Una sèrie de carrers foren dedicats a materials afins amb temes industrials com l'acer, el bronze, el ferro, el plom, etc.	25/06/1958	Acero	SANTS-MONTJUÏC (03)
18	1900	C	Carrer de l'Actor Morano	Actor Morano	Francisco Morano Moreno (Madrid, 1876 - Barcelona, 1933). Actor teatral. Formà part de la companyia de María Tubau i actuà al Teatre Principal de Barcelona (1893 - 1894). El 1903 creà una companyia pròpia. Com a empresari i director teatral, realitzà representacions en les principals capitals de l'Estat i de l'Argentina.	07/07/1942	Lletra B de Can Ramis; Capitán Ferrandiz, 1933; Lletra B de Casa Ramis, 1939	SARRIÀ-SANT GERVASI (05)
19	2006	C	Carrer de l'Actriu Tubau	Actriu Tubau	María Álvarez Tubau (Madrid, 1854 - 1914). Actriu dramàtica. Obtingué molt d'èxit amb la representació de les obres d'Echegaray, Marquina i Dumas fill. En retirar-se, l'any 1904, exercí de professora d'art dramàtic al Conservatori de Madrid.	07/07/1942	Lletra G de Casa Ramis, abans de 1933; Capitán Bellés, 1933; Lletra G de Casa Ramis, 1939	SARRIÀ-SANT GERVASI (05)
20	2050	C	Carrer d'Adolf Florensa	Adolf Florensa	Adolf Florensa i Ferrer (Lleida, 1889 - Barcelona, 1968). Arquitecte catedràtic a l'Escola d'Arquitectura de Barcelona i arquitecte municipal.	28/07/1982		LES CORTS (04)
21	2200	C	Carrer d'Adrall	Adrall	Poble del municipi de la parròquia d'Hortó (Alt Urgell).	29/05/1945	Núm. 40	SANT ANDREU (09)
22	2210	Av	Avinguda d'Adrià Gual	Av Adrià Gual	Adrià Gual i Queralt (Barcelona, 1872 - 1943). Autor dramàtic, director d'escena, pintor i pedagog. Fundà el Teatre Íntim. Fou director de l'Escola Catalana d'Art Dramàtic i director artístic de la productora Barcinógrafo (1913). Les seves memòries, Mitja vida de teatre (1960), editades pòstumament, són un document de gran importància. Com a pintor, se centrà en un estil modernista típicament esteticista. Finalment, dedicà el seu esforç a l'escenografia d'obres muntades per ell mateix.	05/07/1960	Decorador Adrià Gual, 1949	GRÀCIA (06)
23	2403	C	Carrer d'Adrià Margarit	Adrià Margarit	Adrià Margarit i Coll (1851 - 1908). Notari. Cofundador, amb el doctor Andreu, de la Societat Urbanitzadora del Tibidabo.	20/07/1943	Adrián Margarit; Núm. 7 (urb. S.A. El Tibidabo)	SARRIÀ-SANT GERVASI (05)
24	2505	Pl	Plaça d'Adrià	Pl Adrià	Publi Eli Adrià (Itàlica, 76 - Baiae, 138). Emperador romà. Filòsof i home d'acció que destacà com a constructor. Aixecà quatre ciutats i construí importants edificis per tot l'Imperi; entre d'altres, la vil·la de Tívoli, el Panteó i el mausoleu d'Adrià, anomenat castell de Sant Angelo a partir del segle VII.	05/11/1913	Adriano	SARRIÀ-SANT GERVASI (05)
25	2607	C	Carrer de la Duana	Duana	Administració encarregada de percebre els drets d'entrada i sortida de mercaderies d'un estat. El carrer correspon a la façana posterior de la nova duana (actual Govern Civil) construïda el 1790-1792 per ordre del ministre d'Hisenda, comte de Roncalli.		Aduana	CIUTAT VELLA (01)
26	2709	C	Carrer dels Afores	Afores	Als afores de l'antiga vila de Sant Andreu de Palomar. Pot entendre's que se li donà aquest nom perquè es trobava allunyat del nucli principal de la població.	 (Abans de 1800)	Afueras	SANT ANDREU (09)
27	2902	C	Carrer de n'Aglà	Aglà	Possible malnom d'un personatge que visqué al carrer a l'edat mitjana; no consta aquest cognom en les fonts genealògiques consultades. Possible nom de família.	 (Abans de 1865)		CIUTAT VELLA (01)
28	3009	C	Carrer d'Agramunt	Agramunt	Municipi de l'Urgell.	05/09/1907	La Glòria, 31/03/1875	SARRIÀ-SANT GERVASI (05) GRÀCIA (06)
29	3100	C	Carrer de l'Agregació	Agregació	En commemoració de l'agregació a Barcelona dels pobles del pla l'any 1897: Sant Andreu, Sants, les Corts de Sarrià, Sant Martí de Provençals, Sant Gervasi i Gràcia.	20/04/1897	Agregación	HORTA-GUINARDÓ (07)
30	3202	C	Carrer d'Anna M. Martínez Sagi	Anna Martínez Sagi	Anna Maria Martínez Sagi (Barcelona, 1907 - Santpedor, 2000). Poeta, periodista i esportista. L'any 1927 va començar a col·laborar a la revista Mujeres, on va publicar el seu primer llibre de poemes, Caminos, el 1929. Va publicar els seus articles a les revistes i periòdics Imatges, Lectura, La Rambla i El Tiempo de Bogotà. Fou membre de la Junta del Club Femení i d'Esports i de la directiva del Futbol Club Barcelona. Va ser la primera dona directiva d'un club de futbol, a Espanya. L'any 1932 publicà el seu segon llibre de poemes, Inquietud. Exiliada a França s'instal·là a París, on va fer de  dibuixant i pintora de carrer i va treballar com a assessora editorial, feina amb què va contribuir a la descoberta de Françoise Sagan. Va fer de professora de castellà a l'escriptor André Maurois. Emigrà als Estats Units on va continuar escrivint la seva obra poètica. En tornar a Espanya, el 1969, va publicar Laberinto de presencias, una recopilació de l'obra escrita durant aquells anys d'exili.	22/04/2009	Ptge. de l'Agregació, abans de 1900	HORTA-GUINARDÓ (07)
31	3406	C	Carrer de l'Agricultura	Agricultura	Dedicat a l'art de conrear la terra. Simultàniament (vers l'any 1880) altres carrers de Sant Martí reberen el nom d'activitats econòmiques (treball, comerç, etc.).	25/04/1945	Núm. 60 (Pla Cerdà)	SANT MARTÍ (10)
32	3508	Ctra	Carretera de les Aigües	Ctra Aigües	Destinada a conduir les aigües des del dipòsit de Sant Pere Màrtir fins a la subcentral del Tibidabo. Construïda per la Companyia d'Aigües de Barcelona.	01/11/1909	Aguas	LES CORTS (04) SARRIÀ-SANT GERVASI (05) GRÀCIA (06) HORTA-GUINARDÓ (07)
33	3552	Camí	Camí de les Aigües	Camí Aigües	Condueix a la carretera de les Aigües, destinada a conduir les aigües des del dipòsit de Sant Pere Màrtir fins a la subcentral del Tibidabo. Construïda per la Companyia d'Aigües de Barcelona. .	10/10/1990		SARRIÀ-SANT GERVASI (05)
34	3600	C	Carrer dels Agudells	Agudells	Serralada a orient de Collserola. Antic topònim, Acutellos o montanea d'Agudellos, citat com un dels límits de certa propietat que donaren en hipoteca a Adabert, fill d'El·lesindo, els esposos Bernat i Guilla com a garantia del deute de sis unces que aquell els havia prestat (any 1046).	05/09/1907	Santa Amàlia; Ra. del Carmelo	HORTA-GUINARDÓ (07)
35	3701	C	Carrer de les Agudes	Agudes	Un dels cims culminants del Montseny (1706 m).	28/04/1965		NOU BARRIS (08)
36	3803	C	Carrer de l'Àliga	Àliga	L'ocell. L'àliga coronada fou el símbol de la ciutat. A l'edat mitjana sortia, tradicionalment, per les festes del Corpus i ballava davant la gent, fins que un bisbe de la ciutat, cap a l'any 1573, la va prohibir.	 (Abans de 1900)	Águila	SANTS-MONTJUÏC (03)
37	3905	C	Carrer d'Aguilar	Aguilar	Josep d'Aguilar i d'Alòs (segle XVII - XVIII). Polític i militar que participà en la defensa de Barcelona (1705, 1706 i 1714). L'any 1912 es va aprovar la urbanització de la finca Casa Pujol, propietat de Maria Montserrat de Casanovas i de Fargas, i es posà el nom d'Àliga al carrer projectat, situat en el punt més alt del turó que dominava la urbanització. Posteriorment, l'any 1929, per duplicitat amb un carrer d'Hostafrancs, es decidí canviar el nom per Aguilar, per semblança amb l'anterior, que feia referència a un títol del marquès de Monistrol. Aquesta denominació no tenia relació directa amb els terrenys, per la qual cosa, el 1980, es dedicà el carrer a Josep d'Aguilar i d'Alòs.	19/11/1929	Águila	HORTA-GUINARDÓ (07)
38	4001	C	Carrer d'Agullana	Agullana	Municipi de l'Alt Empordà. Carrer situat al grup de cases Ramon Albó, al Turó de la Peira, on diversos carrers són dedicats a poblacions de la província de Girona.	29/05/1945		NOU BARRIS (08)
39	4103	C	Carrer dels Agullers	Agullers	Hi eren establerts els menestrals fabricants d'agulles i utensilis per a la pesca. Llurs primeres ordenances, un cop independitzats del gremi que comprenia, amb els agullers, els manyans i els armers, daten de l'any 1786. El nom del carrer és anterior a 1778.	 (Any 1865)	Mar y Cielo (s'hi uneixen), 1927; Ancha (s'hi afegeix), 1927	CIUTAT VELLA (01)
40	4125	C	Carrer d'Agustí Duran i Sanpere	A Duran i Sanpere	Agustí Duran i Sanpere (Cervera, 1887 - Barcelona, 1975). Historiador, arxiver i arqueòleg. Llicenciat en lletres i doctor en dret. Des de 1912 col·laborà amb el Servei d'Investigacions Arqueològiques. El 1917 s'incorporà i organitzà l'Arxiu Municipal, l'Oficina d'Investigacions i Publicacions, i l'Arxiu Històric de la Ciutat. Dirigí fins al 1957 l'Institut d'Història de Barcelona. Membre de l'Acadèmia de Bones Lletres (1924) ?que presidí entre 1961 i 1963?, de l'Institut d'Estudis Catalans (1942) i de l'Acadèmia de Belles Arts de Sant Jordi (1968). Fou l'organitzador del Museu Etnològic de Cervera.	22/05/1978	10/12/1997 (canvi d'emplaçament)	CIUTAT VELLA (01)
41	4205	C	Carrer d'Agustí i Milà	Agustí i Milà	Jaume Agustí i Milà (Barcelona, 1817 - 1905). Batxiller en filosofia i lletres, i doctor en teologia i jurisprudència. Assolí alts càrrecs a Puerto Rico, però després del desastre colonial tornà a Barcelona. Contribuí a la restauració de l'església de Sant Andreu, que s'havia enderrocat per defectes de construcció.	05/09/1907	Asil; Sant Isidre; Santa Anna, abans de 1900	SANT ANDREU (09)
42	4307	C	Carrer d'Agustina Saragossa	Agustina Saragossa	Agustina Raimunda Maria Saragossa i Domènec (Barcelona, 1768 - Ceuta, 1857). Heroïna de la guerra del Francès.	19/08/1947	Agustína Zaragoza; Soler i Rebollar, 1933; Agustína Zaragoza, 1929; Núm. 20 de les Corts, 1925	LES CORTS (04)
43	4409	C	Carrer d'Aiguablava	Aiguablava	Cala de la Costa Brava, al municipi de Begur (Baix Empordà). Dominada a ponent per la muntanya de ses Falugues. Carrer del barri de la Trinitat Nova on hi ha diversos carrers dedicats a la Costa Brava.	30/12/1953	Núm. 8	NOU BARRIS (08)
44	4500	C	Carrer d'Aiguafreda	Aiguafreda	Municipi del Vallès Oriental.	11/03/1915	Méjico, 1908; Recaredo, 1907; Ra. de San Agustín	HORTA-GUINARDÓ (07)
45	4602	C	Carrer d'Aigüesmortes	Aigüesmortes	Ciutat del Llenguadoc, departament del Gard, famosa per les muralles i per la torre de Constança.	27/07/1960		SANT MARTÍ (10)
46	4908	C	Carrer d'Àlaba	Àlaba	Regió del País Basc.	07/07/1942	Álava; Igualdad (de pl. Glòries cap amunt); Núm. 44 (Pla Cerdà)	SANT MARTÍ (10)
47	5004	C	Carrer de l'Alba	Alba	Degué posar-se-li el nom a semblança del que portava abans un carrer de Barcelona, quan la vila de Gràcia formava ajuntament a part. El nom Alba de Barcelona fou mudat per Este. L'Alba de Gràcia l'ha substituït i ha restat l'únic en el nomenclàtor de la ciutat.	 (Abans de 1900)		GRÀCIA (06)
48	5106	C	Carrer d'Albacete	Albacete	Ciutat de Castella-la Manxa, capital d'una de les dues províncies en què es troba partit l'antic reialme de Múrcia.	 (Abans de 1920)	Pje. Montserrat, abans de 1900	GRÀCIA (06)
49	5208	C	Carrer d'Albània	Albània	Estat de la península Balcànica.	27/07/1960		SANT MARTÍ (10)
50	5401	C	Carrer d'Albareda	Albareda	Originàriament dedicat a Francesc Albareda i Gibert (? - Martorell, 1875). Propietari d'una mujada de terra a l'indret. Posteriorment fou dedicat a Leandre Albareda i Petit (1852 - 1912). Projectista del Cementiri Nou, inaugurat per Rius i Taulet el 1883.	 (Abans de 1900)		SANTS-MONTJUÏC (03)
51	5503	C	Carrer d'Ourense	Ourense	Capital de la província d'Ourense, situada a la vall mitjana del riu Miño. Nom que faltava per a completar la dedicació de les quatre capitals i províncies galleges al nomenclàtor de carrers de Barcelona. El nom fou proposat en substitució del d'Albarrasí, el qual recordava una batalla guanyada per les tropes franquistes el 1937.	23/10/2006	Albarrasí, 12/06/1980; Albarracín, 28/01/1959	HORTA-GUINARDÓ (07)
52	5707	C	Carrer d'Albert Llanas	Albert Llanas	Albert de Sicília Llanas i Castells (Barcelona, 1841 - 1915). Autor teatral i figura representativa de la bohèmia de finals de segle. Publicà diverses comèdies de costums de gran èxit i adaptà al català obres de Moratín, Calderón de la Barca i Shakespeare. Titular de la cooperativa de periodistes que construí l'agrupació urbana on es troba aquest carrer.	21/12/1921		HORTA-GUINARDÓ (07)
53	5809	Ptge	Passatge d'Albert Pinyol	Ptge Albert Pinyol	Albert Pinyol i Domingo (Valls, 1841 - Barcelona, 1919). Jardiner i propietari dels terrenys on s'obrí el passatge. Adquirí la meitat dels terrenys per compra a Mercè Saladrigas i l'altra meitat per herència de la seva muller, Teresa Jorba i Mateu. Els terrenys havien format part de l'heretat de Corts, del monestir de religioses jerònimes. Dedicat a la seva memòria pels seus fills Albert i Ignasi.	 (Any 1920)	Alberto Piñol	LES CORTS (04)
54	6109	C	Carrer dels Albigesos	Albigesos	Pel corrent que a mitjan segle XII va iniciar-se a Albí i després de ser condemnat en els concilis del Laterà i de la mateixa ciutat d'Albí, encengué en guerra el Migjorn de França. Defensant la causa dels pobles del Migjorn i en lluita contra Simó de Montfort, morí el rei d'Aragó Pere el Catòlic, a la batalla de Muret (1213).	05/09/1907	Mina, abans de 1900	GRÀCIA (06)
55	6302	C	Carrer d'Alcalá de Guadaira	Alcalá de Guadaira	Fortalesa (avui ciutat) de la província de Sevilla, conquerida per Ferran III de Castella a mitjan segle XIII. El seu castell serví de presó a importants personatges. El nom fou donat al carrer l'any 1925 com a agraïment al fet que la ciutat d'Alcalá de Guadaira donà el nom de Barcelona a un dels seus carrers.	07/07/1942	Doctor Rizal, 04/02/1931; Alcalá de Guadaira, 13/01/1925; Dr. Rizal; Carmen	SANT MARTÍ (10)
56	6404	Pl	Plaça de l'Alcalde Baró de Viver	Pl Alc Baró Viver	Darius Rumeu i Freixa (Barcelona, 1886 - 1970). Segon baró de Viver, gran d'Espanya, polític i financer. Líder dels monàrquics liberals catalans. Alcalde de Barcelona (1925 - 1929). El nom fou donat a la plaça perquè també concebé la urbanització del final de la Diagonal.	19/01/1943	Alcalde Barón de Viver	LES CORTS (04)
57	6506	C	Carrer de l'Alcalde Miralles	Alcalde Miralles	Ramon Miralles i Vilalta (Sarrià, 1841 - 1909). Alcalde de la vila de Sarrià de 1878 a 1902. Nomenat fill adoptiu de Sarrià perquè va aconseguir la independència administrativa de Barcelona. Va establir l'actual Consell del Districte, on es va crear l'Arxiu Municipal.	25/01/1952	Miralles, 1902; Agregació (Vallvidrera), 1890	SARRIÀ-SANT GERVASI (05)
58	6608	C	Carrer de l'Alcalde de Móstoles	Alcalde Móstoles	Andrés Torrejón (Móstoles, 1736 - 1812). Pagès que fou alcalde juntament amb Simón Hernández. En arribar les notícies del Dos de Maig de 1808, el fiscal del Consell de Guerra, Juan Pérez Villamil, que es trobava en aquell moment a Móstoles, redactà una proclama incitant el poble a aixecar-se en armes i socórrer Madrid. Els dos alcaldes signaren el ban, que es va estendre ben aviat per Extremadura i Andalusia.	07/07/1942	José Nonell, 1935; Marina (tram sobre les casernes de Girona)	HORTA-GUINARDÓ (07)
59	6801	C	Carrer de l'Alcalde de Zalamea	Alcalde de Zalamea	Obra de Calderón de la Barca.	28/01/1959	Camí del Portell	HORTA-GUINARDÓ (07)
60	7000	C	Carrer d'Alcamo	Alcamo	Ciutat d'Itàlia, província de Trapani (Sicília). Carrer del barri del Besòs, on diversos carrers són dedicats a poblacions italianes.	27/07/1960		SANT MARTÍ (10)
61	7101	C	Carrer d'Alcanar	Alcanar	Municipi del Montsià.	 (Abans de 1911)	San Rafael, abans de 1865	CIUTAT VELLA (01)
62	7203	C	Carrer d'Alcántara	Alcántara	Batalla d'Alcántara. Batalla guanyada pel duc d'Alba contra els portuguesos el 25 d'agost de 1580 i que li obrí les portes de Lisboa. La conseqüència d'aquest fet d'armes fou la incorporació de Portugal a la Corona d'Espanya, unió que subsistí fins a l'any 1640.	31/10/1955	Danubio	NOU BARRIS (08)
63	7258	C	Carrer de Martí i Franquès	Martí i Franquès	Antoni de Martí i Franquès (Altafulla, 1750 - Tarragona, 1832). Científic. Noble de la casa pairal d'Ardenya, a Altafulla. Membre de l'Acadèmia de Ciències Naturals i Arts de Barcelona (1786). L'Institut d'Estudis Catalans instituí un premi que duu el seu nom.	28/07/1982	La Alcàrria	LES CORTS (04)
64	7305	Av	Avinguda de l'Exèrcit	Av Exèrcit	En homenatge a les forces armades.	20/12/1979	C. del Alcázar de Toledo	LES CORTS (04)
65	7407	C	Carrer d'Alcolea	Alcolea	Batalla d'Alcolea (Còrdova). Batalla del 29 de setembre de 1868. El general Serrano, duc de la Torre, derrotà les forces del general Pavia, marquès de Novaliches. La victòria determinà el triomf de la revolució i la fi del regnat d'Isabel II. El nom li fou posat en plena època de la Revolució de 1868.	 (Abans de 1900)		SANTS-MONTJUÏC (03)
66	7509	C	Carrer d'Alcoi	Alcoi	Municipi i cap de comarca de l'Alcoià.	05/09/1907	Alcoy; San Lorenzo, abans de 1887	SARRIÀ-SANT GERVASI (05)
67	7600	C	Carrer d'Alcúdia	Alcúdia	Municipi situat al nord-est de l'illa de Mallorca. Forma part d'un conjunt de carrers amb noms de poblacions de les illes Balears.	28/07/1950		NOU BARRIS (08)
68	7702	C	Carrer d'Aldana	Aldana	Joan Aldana (Tortosa, segles XV - XVI). Militar al servei de Ferran II de Catalunya-Aragó i de Carles V. A Pavia (1525), féu personalment presoner el rei de França Francesc I.	04/04/1865		EIXAMPLE (02)
69	7804	C	Carrer de l'Aldea	Aldea	Municipi del Baix Ebre, situat a l'esquerra de l'Ebre, al començament de la zona del delta. Fou creat municipi el 1983 per la segregació del terme de l'antiga pedania de l'Aldea, integrat fins aleshores a Tortosa. Aldea significa llogarret o petita població dependent d'una altra. El carrer es troba situat en els terrenys de l'antiga heretat Can Móra. Fou aprovat junt amb el nom de Móra la Nova, fent conjunt amb el carrer de Móra d'Ebre de la mateixa zona urbana.	28/01/1959	Lletra B (urb. Casa Mora, Districte de Gràcia)	GRÀCIA (06)
70	7906	C	Carrer de Ca l'Alegre de Dalt	Ca l'Alegre Dalt	Important casa pairal que donà nom a la urbanització de la zona, situada al núm. 82 del mateix carrer. Enderrocada el 1981 per fer-hi pisos.	 (Abans de 1900)		GRÀCIA (06)
71	8079	C	Carrer de la Malva	Malva	La planta. Forma part d'un conjunt de carrers amb noms d'arbres i de plantes.	10/04/1981	Alexandre Magne	SARRIÀ-SANT GERVASI (05)
72	8104	C	Carrer d'Alexandre de Torrelles	A de Torrelles	Alexandre de Torrelles. Comandant de divisió naval que lluità a la batalla de Lepant (1571) sota les ordres de Lluís de Requesens. Capturà la galera que conduïa els fills del gran almirall turc.	10/12/1929	Alejandro Torrellas; Núm. 1 B (Casa Baró)	HORTA-GUINARDÓ (07)
73	8206	C	Carrer d'Alella	Alella	Municipi del Maresme. Marquesat concedit a Camil Fabra, que fou alcalde de Barcelona el 1893.	25/04/1945		NOU BARRIS (08)
74	8308	C	Carrer de l'Alfambra	Alfambra	Riu afluent del Túria. El nom es donà al carrer l'any 1943, conjuntament amb altres noms de fets d'armes de la Guerra Civil del 1936 - 1939 (Belchite, Brunete, etc.).	28/07/1950		LES CORTS (04)
75	8400	C	Carrer d'Alfarràs	Alfarràs	Municipi del Segrià. Carrer situat al grup de cases Milans del Bosch, al barri del Bon Pastor, on diversos carrers són dedicats a poblacions catalanes.	29/05/1945	Núm. 26	SANT ANDREU (09)
76	8501	C	Carrer d'Alfons XII	Alfons XII	Alfons XII (Madrid, 1857 - 1885). Rei d'Espanya. S'hagué d'exiliar a França a causa de la Revolució de Setembre de 1868. Després del cop d'estat de Sagunt (desembre de 1874), enderrocà la República i es proclamà rei. Durant el seu regnat posà fi a la guerra carlina (1876) i a la insurrecció cubana (1878), i fou promulgada una nova constitució (1876), molt més moderada que la del 1869. Fill d'Isabel II i de Francesc d'Assís de Borbó.	07/03/1939	Bélgica, 1931; Alfons XII, abans de 1879; Paloma (el tram inferior), abans de 1870; Colegio, 09/12/1874	SARRIÀ-SANT GERVASI (05)
77	8603	C	Carrer de Costa i Cuxart	Costa i Cuxart	Antoni Cebrià Costa i Cuxart (València, 1817 - Barcelona, 1886). Botànic. Catedràtic de botànica a la Universitat de Barcelona (1847).	26/02/1993	Antoni Costa i Cuxart; Alfons Aiguavives	NOU BARRIS (08)
